evidence_id,text,source_type,source_name,created_at,language,market,region,metadata,comment_id,comment_text,project_id,video_id,video_title,channel_title,is_reply,parent_comment_id,comment_like_count,reply_count,comment_published_at,collected_at,collection_order,rule_classification_label,rule_candidate_categories,rule_candidate_subtopics,detected_entities,detected_comparison_phrases,detected_lifecycle_signals,rule_evidence,codex_subject,codex_primary_category,codex_secondary_categories,codex_subtopics,codex_lifecycle_stage,codex_mentioned_brands,codex_mentioned_products,codex_confidence,codex_evidence,codex_review_risk,codex_review_triggers,codex_manual_review,codex_review_reason,classification_source,classifier_version,rubric_version,classified_at,research_profile,classification_history,human_confirmed_primary_category,human_confirmed_secondary_categories,human_confirmed_subtopics,human_confirmed_lifecycle_stage,review_status,reviewed_at,reviewer_note,qa_sample,qa_sample_reason,qa_status,qa_sample_seed,qa_sampled_at,evidence_review_required,evidence_review_status
gf-001,The setup guide was clear and I was running in ten minutes.,product_review,Marketplace reviews,2026-08-01T09:00:00Z,en,US,,"{""engagement_count"": 7}",gf-001,The setup guide was clear and I was running in ten minutes.,,Marketplace reviews,Marketplace reviews,,False,,7,0,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00,1,not available for this research profile,,,,,,,communication_or_content,Positive Signal / Praise,,onboarding; usability,Adopting,,,0.94,"[""setup guide was clear"",""running in ten minutes""]",low,[],False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-002,Can I export invoices as PDF for our finance team?,customer_inquiry,Support inbox,2026-08-02T10:30:00Z,en,,Europe,{},gf-002,Can I export invoices as PDF for our finance team?,,Support inbox,Support inbox,,False,,0,0,2026-08-02T10:30:00+00:00,2026-08-02T10:30:00+00:00,2,not available for this research profile,,,,,,,offering,Question / Information Need,Need / Request,features; workflow,Evaluating,,,0.91,"[""Can I export invoices as PDF"",""for our finance team""]",medium,"[""question_and_capability_need""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-003,We need single sign-on before security will approve a rollout.,crm_note,Enterprise CRM,2026-08-03T14:20:00Z,en,UK,,"{""account_segment"": ""enterprise""}",gf-003,We need single sign-on before security will approve a rollout.,,Enterprise CRM,Enterprise CRM,,False,,0,0,2026-08-03T14:20:00+00:00,2026-08-03T14:20:00+00:00,3,not available for this research profile,,,,,,,offering,Adoption or Purchase Barrier,Need / Request; Trust / Risk Concern,compatibility; workflow,Blocked,,,0.94,"[""need single sign-on"",""before security will approve a rollout""]",medium,"[""multiple_strong_intents""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-004,The monthly price is too high for a three-person team.,survey_response,Trial exit survey,2026-08-04T08:15:00Z,en,CA,,{},gf-004,The monthly price is too high for a three-person team.,,Trial exit survey,Trial exit survey,,False,,0,0,2026-08-04T08:15:00+00:00,2026-08-04T08:15:00+00:00,4,not available for this research profile,,,,,,,offering,Adoption or Purchase Barrier,Pain Point,price,Blocked,,,0.96,"[""monthly price is too high"",""for a three-person team""]",medium,"[""barrier_and_pain_point""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,True,fixed-seed medium-risk QA sample at 25%,pending,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-005,I love how quickly the dashboard loads on my phone.,social_feedback,Community forum,2026-08-05T17:45:00Z,en,AU,,"{""engagement_count"": 12}",gf-005,I love how quickly the dashboard loads on my phone.,,Community forum,Community forum,,False,,12,0,2026-08-05T17:45:00+00:00,2026-08-05T17:45:00+00:00,5,not available for this research profile,,,,,,,offering,Positive Signal / Praise,Usage Context,usability; mobile performance,Using,,,0.97,"[""love how quickly the dashboard loads"",""on my phone""]",low,[],False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-006,Our team is worried about where customer data is stored.,interview_note,Buyer interview,2026-08-06T11:00:00Z,en,,EU,{},gf-006,Our team is worried about where customer data is stored.,,Buyer interview,Buyer interview,,False,,0,0,2026-08-06T11:00:00+00:00,2026-08-06T11:00:00+00:00,6,not available for this research profile,,,,,,,offering,Trust / Risk Concern,,privacy; data residency,Evaluating,,,0.96,"[""worried about where customer data is stored""]",medium,"[""implicit_risk_implication""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-007,"Compared with our spreadsheet, this saves hours every Friday.",product_review,Customer review,2026-08-07T12:00:00Z,en,US,,"{""engagement_count"": 4}",gf-007,"Compared with our spreadsheet, this saves hours every Friday.",,Customer review,Customer review,,False,,4,0,2026-08-07T12:00:00+00:00,2026-08-07T12:00:00+00:00,7,not available for this research profile,,,,,,,alternative,Positive Signal / Praise,Comparison / Alternative; Usage Context,workflow; productivity,Using,,,0.93,"[""Compared with our spreadsheet"",""saves hours every Friday""]",medium,"[""multiple_strong_intents""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-008,The verification email never arrived and support has not replied.,customer_inquiry,Support inbox,2026-08-08T09:40:00Z,en,SG,,{},gf-008,The verification email never arrived and support has not replied.,,Support inbox,Support inbox,,False,,0,0,2026-08-08T09:40:00+00:00,2026-08-08T09:40:00+00:00,8,not available for this research profile,,,,,,,support_or_staff,Support / Service Issue,Pain Point,support responsiveness; onboarding,Seeking Support,,,0.98,"[""verification email never arrived"",""support has not replied""]",medium,"[""service_failure_and_product_friction""]",False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-009,I use the mobile view while checking inventory on the warehouse floor.,interview_note,Operations interview,2026-08-09T15:10:00Z,en,US,,{},gf-009,I use the mobile view while checking inventory on the warehouse floor.,,Operations interview,Operations interview,,False,,0,0,2026-08-09T15:10:00+00:00,2026-08-09T15:10:00+00:00,9,not available for this research profile,,,,,,,offering,Usage Context,,workflow; mobile; inventory,Using,,,0.98,"[""mobile view"",""checking inventory on the warehouse floor""]",low,[],False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
gf-010,Please add a way to assign one task to two owners.,social_feedback,Ideas board,2026-08-10T13:25:00Z,en,,,"{""engagement_count"": 18}",gf-010,Please add a way to assign one task to two owners.,,Ideas board,Ideas board,,False,,18,0,2026-08-10T13:25:00+00:00,2026-08-10T13:25:00+00:00,10,not available for this research profile,,,,,,,offering,Need / Request,,features; workflow,Using,,,0.98,"[""Please add a way"",""assign one task to two owners""]",low,[],False,,codex-assisted,codex-semantic-v2,core-generalization-general-feedback-v1,2026-09-11T13:27:08.150613+00:00,general_feedback,[],,,,,pending,,,False,not selected,not_selected,20260816,2026-09-11T13:27:08.150613+00:00,False,not_required
